Ano;Trimestre;UID;Codigo_Municipio;Municipio;0201 Coleta de material;0209 Diagnostico por endoscopia;0211 Metodos diagnosticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clinicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;0402 Cirurgia de glandulas endocrinas;0403 Cirurgia do sistema nervoso central e periferico;0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;0405 Cirurgia do aparelho da visao;0406 Cirurgia do aparelho circulatorio;0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinario;0410 Cirurgia de mama;0411 Cirurgia obstetrica;0412 Cirurgia toracica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgaos, tecidos e celulas;0506 Acompanhamento e intercorrencias no pre e pos-transplante
2021;1;20211110001;110001;ALTA FLORESTA D'OESTE;0;0;0;4;292;6;10;16;14;0;0;1;0;0;1;9;13;0;0;49;0;1;0;14;0;0;0;0;1;0
2021;1;20211110002;110002;ARIQUEMES;3;0;0;103;1222;25;27;146;106;3;0;8;5;0;7;31;91;13;1;134;9;8;0;58;10;0;2;0;2;1
2021;1;20211110003;110003;CABIXI;0;0;0;2;82;1;6;5;4;0;0;0;0;0;1;1;3;3;0;3;0;0;0;9;0;0;0;0;0;0
2021;1;20211110004;110004;CACOAL;0;0;0;30;478;46;24;55;64;2;2;4;5;0;6;41;64;16;1;183;4;1;1;39;7;0;1;0;0;1
2021;1;20211110005;110005;CEREJEIRAS;0;0;0;8;189;7;11;8;16;0;0;1;0;0;0;6;17;0;0;36;0;1;0;4;2;0;0;0;0;0
2021;1;20211110006;110006;COLORADO DO OESTE;0;0;0;8;127;8;4;10;10;0;0;0;0;0;2;12;15;5;0;27;0;0;0;1;2;0;0;0;0;3
2021;1;20211110007;110007;CORUMBIARA;0;0;0;5;29;0;1;1;3;0;0;1;1;0;0;4;4;0;0;15;0;0;0;1;0;0;0;0;0;0
2021;1;20211110008;110008;COSTA MARQUES;0;0;0;1;49;6;0;2;2;0;0;1;2;0;0;0;7;2;0;11;0;0;0;6;0;0;1;0;0;0
2021;1;20211110009;110009;ESPIGAO D'OESTE;0;0;0;2;231;14;7;27;22;1;0;0;2;0;3;6;6;1;0;26;0;0;0;5;0;0;0;0;0;0
2021;1;20211110010;110010;GUAJARA-MIRIM;0;0;0;16;522;13;7;58;114;2;0;5;3;0;1;25;35;7;0;92;2;0;0;17;3;0;2;0;0;0
2021;1;20211110011;110011;JARU;1;0;0;41;561;26;12;42;64;2;2;4;1;2;2;27;31;13;0;130;0;0;0;17;10;0;2;0;0;0
2021;1;20211110012;110012;JI-PARANA;0;0;0;13;985;41;70;27;153;5;0;6;8;2;4;75;68;29;0;151;0;0;0;32;17;0;1;0;1;18
2021;1;20211110013;110013;MACHADINHO D'OESTE;1;0;0;2;312;6;26;54;43;4;0;1;1;2;2;11;29;9;1;65;1;0;0;14;4;0;1;0;0;0
2021;1;20211110014;110014;NOVA BRASILANDIA D'OESTE;0;0;0;2;143;0;6;8;3;0;0;1;2;0;0;6;6;5;0;35;0;0;0;1;0;0;0;0;0;0
2021;1;20211110015;110015;OURO PRETO DO OESTE;0;0;0;16;377;11;1;19;19;1;0;5;0;0;1;52;12;32;0;57;0;0;0;9;5;0;1;0;0;0
2021;1;20211110018;110018;PIMENTA BUENO;0;0;0;9;428;24;20;91;23;3;0;3;1;0;1;4;22;9;0;65;0;1;0;13;2;0;0;0;0;0
2021;1;20211110020;110020;PORTO VELHO;4;4;0;47;3772;236;144;881;727;21;2;83;22;5;69;277;622;140;5;877;25;4;0;460;54;0;14;0;9;29
2021;1;20211110025;110025;PRESIDENTE MEDICI;1;0;0;4;178;3;9;8;9;2;1;1;1;0;1;6;9;3;0;40;0;0;0;7;3;0;0;0;0;0
2021;1;20211110026;110026;RIO CRESPO;0;0;0;15;15;2;0;2;1;0;0;0;1;0;0;2;2;1;0;1;0;0;0;1;1;0;0;0;0;0
2021;1;20211110028;110028;ROLIM DE MOURA;1;1;0;59;431;12;10;45;15;1;0;1;5;0;0;22;26;12;1;173;4;0;0;26;8;0;0;0;0;6
2021;1;20211110029;110029;SANTA LUZIA D'OESTE;1;0;0;1;85;3;4;7;1;0;0;0;1;0;0;0;1;0;0;13;1;0;0;4;1;0;0;0;0;0
2021;1;20211110030;110030;VILHENA;2;0;0;191;1100;19;40;75;137;2;1;6;20;0;2;68;155;24;0;307;8;3;0;14;10;0;0;0;0;0
2021;1;20211110032;110032;SAO MIGUEL DO GUAPORE;0;0;0;14;177;3;10;11;15;0;0;1;1;0;2;15;8;23;0;89;0;0;0;7;0;0;0;0;0;0
2021;1;20211110033;110033;NOVA MAMORE;0;0;0;4;250;5;8;31;28;0;0;3;0;0;2;13;27;5;0;32;1;1;0;15;2;0;0;0;1;0
2021;1;20211110034;110034;ALVORADA D'OESTE;0;2;0;20;80;11;2;6;4;0;0;1;1;0;2;4;5;2;0;10;1;0;0;12;1;0;0;0;0;0
2021;1;20211110037;110037;ALTO ALEGRE DOS PARECIS;0;0;0;2;119;4;8;9;4;0;0;1;0;0;0;3;3;0;0;21;0;0;0;5;0;0;0;0;0;1
2021;1;20211110040;110040;ALTO PARAISO;0;0;0;12;124;2;4;16;16;0;0;4;0;0;1;2;16;0;0;12;0;0;0;13;3;0;0;0;0;1
2021;1;20211110045;110045;BURITIS;0;0;0;3;241;7;7;45;24;1;0;2;0;0;1;2;33;4;1;24;1;0;0;19;3;0;0;0;0;5
2021;1;20211110050;110050;NOVO HORIZONTE DO OESTE;0;0;0;2;102;0;1;3;3;1;0;0;0;0;0;2;3;3;0;13;0;1;0;3;0;0;0;0;0;0
2021;1;20211110060;110060;CACAULANDIA;0;0;0;3;23;1;0;3;1;0;0;0;0;0;1;2;0;0;0;3;0;0;0;0;1;0;0;0;0;0
2021;1;20211110070;110070;CAMPO NOVO DE RONDONIA;0;0;0;1;66;3;6;15;4;0;0;1;0;0;0;3;7;0;0;3;0;0;0;3;1;0;0;0;0;0
2021;1;20211110080;110080;CANDEIAS DO JAMARI;1;0;0;2;137;13;9;28;16;0;0;1;0;1;3;14;41;9;1;33;1;0;0;15;1;0;0;0;1;0
2021;1;20211110090;110090;CASTANHEIRAS;0;0;0;0;9;0;1;1;1;0;0;0;0;0;0;4;0;1;0;4;0;0;0;0;1;0;0;0;0;0
2021;1;20211110092;110092;CHUPINGUAIA;1;0;0;3;27;4;4;5;9;2;0;0;3;0;0;5;10;1;1;12;1;0;0;9;1;0;0;0;0;3
2021;1;20211110094;110094;CUJUBIM;0;0;0;19;176;0;5;24;20;1;0;0;0;0;2;2;15;1;0;14;0;0;0;8;2;0;0;0;0;0
2021;1;20211110100;110100;GOVERNADOR JORGE TEIXEIRA;1;0;0;1;23;1;0;2;8;0;0;0;2;1;0;5;2;0;0;5;1;0;0;5;0;0;0;0;0;0
2021;1;20211110110;110110;ITAPUA DO OESTE;0;0;0;0;72;6;1;14;10;1;0;0;1;0;1;4;4;1;0;8;1;1;0;10;1;0;0;0;0;0
2021;1;20211110120;110120;MINISTRO ANDREAZZA;0;1;0;1;60;8;1;0;2;0;0;0;0;0;0;3;2;2;0;7;0;0;0;0;1;0;0;0;0;0
2021;1;20211110130;110130;MIRANTE DA SERRA;0;0;0;3;66;0;1;4;3;0;0;0;0;0;0;4;5;3;0;6;0;0;0;3;1;0;1;0;0;0
2021;1;20211110140;110140;MONTE NEGRO;0;0;0;1;130;4;16;18;10;4;0;3;0;1;2;2;9;1;0;2;0;0;0;8;0;0;0;0;0;0
2021;1;20211110143;110143;NOVA UNIAO;0;0;0;0;75;0;3;0;2;1;0;0;0;0;0;2;2;1;0;7;0;0;0;1;0;0;0;0;0;0
2021;1;20211110145;110145;PARECIS;0;0;0;70;7;1;0;1;2;0;0;0;1;0;0;0;4;0;0;4;1;0;0;1;0;0;0;0;0;0
2021;1;20211110146;110146;PIMENTEIRAS DO OESTE;0;0;0;4;29;0;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0
2021;1;20211110147;110147;PRIMAVERA DE RONDONIA;0;0;0;0;18;1;0;4;0;1;0;0;0;0;0;1;1;2;0;7;0;0;0;1;1;0;0;0;0;0
2021;1;20211110148;110148;SAO FELIPE D'OESTE;0;0;0;2;14;6;2;3;0;0;0;0;0;0;0;1;1;0;0;6;0;0;0;1;0;0;0;0;0;0
2021;1;20211110149;110149;SAO FRANCISCO DO GUAPORE;0;0;0;4;125;2;7;11;9;3;0;0;1;0;1;7;9;7;0;29;0;1;0;6;0;0;1;0;0;0
2021;1;20211110150;110150;SERINGUEIRAS;0;0;0;22;80;3;3;5;7;0;0;0;0;0;0;13;11;8;0;34;0;0;0;2;2;0;0;0;0;0
2021;1;20211110155;110155;TEIXEIROPOLIS;0;0;0;0;46;0;0;0;0;0;0;1;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0
2021;1;20211110160;110160;THEOBROMA;0;0;0;2;40;3;1;7;8;1;0;0;1;0;0;2;3;4;0;5;0;0;0;5;0;0;0;0;0;0
2021;1;20211110170;110170;URUPA;0;0;0;3;50;9;5;2;1;0;0;0;0;0;1;5;4;5;0;15;0;0;0;1;0;0;0;0;0;0
